event_date,entry_date,exit_date,event_type,surprise,surprise_pct,signal,entry_price,exit_price,pnl_gross,cost,pnl_net,stopped,holding_days,stop_type,stop_pct,config
2022-08-05,2022-08-08,2022-08-10,NFP,278.0,111.20000000000002,-1,121.38788042668337,123.93945367325223,-2.0587255881373334,0.3,-2.3587255881373332,True,2,ohlc,2,OHLC stop 2%
2022-07-08,2022-07-11,2022-07-13,NFP,104.0,38.80597014925373,-1,110.48478054304734,112.80717063006217,-2.0587255881373334,0.3,-2.3587255881373332,True,2,ohlc,2,OHLC stop 2%
2022-06-03,2022-06-06,2022-06-09,NFP,65.0,20.0,-1,116.02784778225806,111.76745417737177,3.8118373870493327,0.3,3.511837387049333,False,2,ohlc,2,OHLC stop 2%
2022-05-06,2022-05-09,2022-05-11,NFP,48.0,12.631578947368421,-1,109.77322454498794,112.08065772492358,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2022-04-01,2022-04-04,2022-04-06,NFP,-59.0,-12.040816326530612,1,177.30506250680932,173.58520229541645,-2.098000000000011,0.3,-2.398000000000011,True,2,ohlc,2,OHLC stop 2%
2022-03-04,2022-03-07,2022-03-10,NFP,278.0,69.5,-1,208.68375266198757,189.66313026501393,10.02863464838757,0.3,9.728634648387569,False,2,ohlc,2,OHLC stop 2%
2022-02-04,2022-02-07,2022-02-10,NFP,67.0,16.75,-1,209.58950718745825,203.7021412132853,2.8901836471167064,0.3,2.5901836471167066,False,2,ohlc,2,OHLC stop 2%
2022-01-07,2022-01-10,2022-01-13,NFP,-201.0,-50.24999999999999,1,222.63223764919942,230.96507058629226,3.742868968609492,0.3,3.442868968609492,False,2,ohlc,2,OHLC stop 2%
2021-12-03,2021-12-06,2021-12-08,NFP,-340.0,-61.81818181818181,1,288.36960999347036,282.31961557580735,-2.098,0.3,-2.3979999999999997,True,2,ohlc,2,OHLC stop 2%
2021-11-05,2021-11-08,2021-11-10,NFP,81.0,18.0,-1,261.7424708549223,267.2442975922928,-2.0587255881373667,0.3,-2.3587255881373665,True,2,ohlc,2,OHLC stop 2%
2021-10-08,2021-10-11,2021-10-14,NFP,-306.0,-61.199999999999996,1,225.24344849413143,243.53827325723063,8.122245013299857,0.3,7.822245013299857,False,2,ohlc,2,OHLC stop 2%
2021-09-03,2021-09-07,2021-09-10,NFP,-515.0,-68.66666666666667,1,254.4549464051453,262.96696716853535,3.345197601243366,0.3,3.045197601243366,False,2,ohlc,2,OHLC stop 2%
2021-08-06,2021-08-09,2021-08-12,NFP,73.0,8.39080459770115,-1,259.1637555836103,248.38788159270374,4.3383251718279725,0.3,4.038325171827973,False,2,ohlc,2,OHLC stop 2%
2021-07-02,2021-07-06,2021-07-08,NFP,150.0,21.428571428571427,-1,247.57286447682048,252.77684608812322,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2021-06-04,2021-06-07,2021-06-10,NFP,-116.0,-17.185185185185183,1,217.84444111332314,223.72725403969235,2.7004650182048673,0.3,2.4004650182048675,False,2,ohlc,2,OHLC stop 2%
2021-05-07,2021-05-10,2021-05-12,NFP,-724.0,-73.13131313131314,1,215.12930179911544,210.61588904737,-2.098,0.3,-2.3979999999999997,True,2,ohlc,2,OHLC stop 2%
2021-04-02,2021-04-05,2021-04-07,NFP,256.0,38.78787878787879,-1,203.9067466498506,208.19286646443044,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2021-03-05,2021-03-08,2021-03-10,NFP,197.0,108.24175824175823,-1,214.8944222604215,219.41150301633553,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2021-02-05,2021-02-08,2021-02-11,NFP,-56.0,-53.333333333333336,1,263.37234411979995,270.6077425602074,2.7472126827091214,0.3,2.4472126827091216,False,2,ohlc,2,OHLC stop 2%
2020-12-04,2020-12-07,2020-12-10,NFP,-224.0,-47.76119402985074,1,302.8067171699398,314.20170423949804,3.763122290039278,0.3,3.463122290039278,False,2,ohlc,2,OHLC stop 2%
2020-11-06,2020-11-09,2020-11-12,NFP,38.0,6.333333333333334,-1,301.7637444670254,308.1068183757222,-2.0587255881373223,0.3,-2.358725588137322,True,2,ohlc,2,OHLC stop 2%
2020-10-02,2020-10-05,2020-10-07,NFP,-198.0,-23.050058207217695,1,333.57411744793086,326.57573246387324,-2.098000000000011,0.3,-2.398000000000011,True,2,ohlc,2,OHLC stop 2%
2020-08-07,2020-08-10,2020-08-13,NFP,163.0,10.1875,-1,395.6303832990513,362.429374047077,9.160683882002818,0.3,8.860683882002817,False,2,ohlc,2,OHLC stop 2%
2020-07-02,2020-07-06,2020-07-08,NFP,1800.0,60.0,-1,343.7430257194088,350.96850412003073,-2.0587255881373334,0.3,-2.3587255881373332,True,2,ohlc,2,OHLC stop 2%
2020-06-05,2020-06-08,2020-06-10,NFP,10009.0,-133.45333333333335,-1,300.8077459274235,307.1307247468179,-2.0587255881373334,0.3,-2.3587255881373332,True,2,ohlc,2,OHLC stop 2%
2020-05-08,2020-05-11,2020-05-13,NFP,500.0,-2.380952380952381,-1,354.25950920336834,361.7060440868231,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2020-04-03,2020-04-06,2020-04-08,NFP,-601.0,601.0,1,381.2027472465899,373.2051136093565,-2.0979999999999888,0.3,-2.3979999999999886,True,2,ohlc,2,OHLC stop 2%
2020-03-06,2020-03-09,2020-03-12,NFP,98.0,56.00000000000001,-1,500.9469297715622,355.52744185873104,40.902465124088415,0.3,40.60246512408842,False,2,ohlc,2,OHLC stop 2%
2020-02-07,2020-02-10,2020-02-13,NFP,60.0,36.36363636363637,-1,273.58274215854266,264.3910412013621,3.476555376239121,0.3,3.176555376239121,False,2,ohlc,2,OHLC stop 2%
2024-10-10,2024-10-11,2024-10-15,CPI,0.10000000000000009,4.347826086956526,-1,48.204685808459956,49.21794830415378,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2024-09-11,2024-09-12,2024-09-17,CPI,-0.10000000000000009,-3.8461538461538494,1,59.84978440790846,61.72069337240985,3.1260078595273466,0.3,2.826007859527347,False,2,ohlc,2,OHLC stop 2%
2024-08-14,2024-08-15,2024-08-20,CPI,-0.10000000000000009,-3.333333333333336,1,53.196627975081945,56.34661899260603,5.921411069512872,0.3,5.621411069512872,False,2,ohlc,2,OHLC stop 2%
2024-07-11,2024-07-12,2024-07-17,CPI,-0.10000000000000009,-3.2258064516129057,1,49.015734147184965,49.559819986282896,1.1100228295349845,0.3,0.8100228295349845,False,2,ohlc,2,OHLC stop 2%
2024-06-12,2024-06-13,2024-06-18,CPI,-0.10000000000000009,-2.941176470588238,1,48.87980987519148,49.826539430721276,1.9368519598319978,0.3,1.6368519598319977,False,2,ohlc,2,OHLC stop 2%
2024-04-10,2024-04-11,2024-04-16,CPI,0.10000000000000009,2.941176470588238,-1,45.10233964220242,41.59942591358117,8.420581899130575,0.3,8.120581899130574,False,2,ohlc,2,OHLC stop 2%
2024-03-12,2024-03-13,2024-03-18,CPI,0.10000000000000009,3.2258064516129057,-1,51.861463190811214,48.88827708307593,6.081593144882058,0.3,5.781593144882058,False,2,ohlc,2,OHLC stop 2%
2024-02-13,2024-02-14,2024-02-20,CPI,0.20000000000000018,6.896551724137938,-1,48.4836940583035,49.502821307409036,-2.0587255881373445,0.3,-2.3587255881373443,True,2,ohlc,2,OHLC stop 2%
2024-01-11,2024-01-12,2024-01-18,CPI,0.19999999999999973,6.249999999999992,-1,56.43415951778417,52.331910467991385,7.838905579993893,0.3,7.5389055799938935,False,2,ohlc,2,OHLC stop 2%
2023-11-14,2023-11-15,2023-11-20,CPI,-0.09999999999999964,-3.0303030303030196,1,44.63919016022738,45.47967793591277,1.8828472753841474,0.3,1.5828472753841474,False,2,ohlc,2,OHLC stop 2%
2023-10-12,2023-10-13,2023-10-18,CPI,0.10000000000000009,2.77777777777778,-1,43.238380432128906,38.5690075103432,12.106541555505434,0.3,11.806541555505433,False,2,ohlc,2,OHLC stop 2%
