Date,Event_Type,Actual,Consensus,Previous
2017-07-01,NFP,189.0,203.0,206.0
2017-07-01,CPI,1.7251073506566073,1.640565809959127,1.640565809959127
2017-08-01,CPI,1.92812155729698,1.7251073506566073,1.7251073506566073
2017-08-01,NFP,147.0,189.0,203.0
2017-09-01,CPI,2.1805652303711787,1.92812155729698,1.92812155729698
2017-09-01,NFP,88.0,147.0,189.0
2017-10-01,NFP,143.0,88.0,147.0
2017-10-01,CPI,2.020757753132485,2.1805652303711787,2.1805652303711787
2017-11-01,NFP,223.0,143.0,88.0
2017-11-01,CPI,2.172493864295566,2.020757753132485,2.020757753132485
2017-12-01,NFP,150.0,223.0,143.0
2017-12-01,CPI,2.129930719552253,2.172493864295566,2.172493864295566
2018-01-01,NFP,137.0,150.0,223.0
2018-01-01,CPI,2.151318868063945,2.129930719552253,2.129930719552253
2018-02-01,CPI,2.263468931091861,2.151318868063945,2.151318868063945
2018-02-01,NFP,394.0,137.0,150.0
2018-03-01,CPI,2.3309497646499366,2.263468931091861,2.263468931091861
2018-03-01,NFP,226.0,394.0,137.0
2018-04-01,NFP,142.0,226.0,394.0
2018-04-01,CPI,2.4709963021052994,2.3309497646499366,2.3309497646499366
2018-05-01,NFP,318.0,142.0,226.0
2018-05-01,CPI,2.781921607842497,2.4709963021052994,2.4709963021052994
2018-06-01,NFP,219.0,318.0,142.0
2018-06-01,CPI,2.8075506935940187,2.781921607842497,2.781921607842497
2018-07-01,CPI,2.854124785561929,2.8075506935940187,2.8075506935940187
2018-07-01,NFP,61.0,219.0,318.0
2018-08-01,NFP,259.0,61.0,219.0
2018-08-01,CPI,2.6429238568742575,2.854124785561929,2.854124785561929
2018-09-01,NFP,79.0,259.0,61.0
2018-09-01,CPI,2.332055105808828,2.6429238568742575,2.6429238568742575
2018-10-01,CPI,2.492032470218053,2.332055105808828,2.332055105808828
2018-10-01,NFP,168.0,79.0,259.0
2018-11-01,NFP,91.0,168.0,79.0
2018-11-01,CPI,2.147328577667773,2.492032470218053,2.492032470218053
2018-12-01,NFP,192.0,91.0,168.0
2018-12-01,CPI,2.0023809043401064,2.147328577667773,2.147328577667773
2019-01-01,CPI,1.4875893578291333,2.0023809043401064,2.0023809043401064
2019-01-01,NFP,250.0,192.0,91.0
2019-02-01,NFP,6.0,250.0,192.0
2019-02-01,CPI,1.5188615351321877,1.4875893578291333,1.4875893578291333
2019-03-01,NFP,230.0,6.0,250.0
2019-03-01,CPI,1.8831863513063984,1.5188615351321877,1.5188615351321877
2019-04-01,NFP,298.0,230.0,6.0
2019-04-01,CPI,2.000583470209061,1.8831863513063984,1.8831863513063984
2019-05-01,NFP,28.0,298.0,230.0
2019-05-01,CPI,1.7959105553606136,2.000583470209061,2.000583470209061
2019-06-01,NFP,218.0,28.0,298.0
2019-06-01,CPI,1.671194894390049,1.7959105553606136,1.7959105553606136
2019-07-01,NFP,97.0,218.0,28.0
2019-07-01,CPI,1.826331335037068,1.671194894390049,1.671194894390049
2019-08-01,NFP,235.0,97.0,218.0
2019-08-01,CPI,1.7376412106666406,1.826331335037068,1.826331335037068
2019-09-01,NFP,194.0,235.0,97.0
2019-09-01,CPI,1.6844977040391562,1.7376412106666406,1.7376412106666406
2019-10-01,CPI,1.7339736996186295,1.6844977040391562,1.6844977040391562
2019-10-01,NFP,95.0,194.0,235.0
2019-11-01,CPI,2.092290394862917,1.7339736996186295,1.7339736996186295
2019-11-01,NFP,208.0,95.0,194.0
2019-12-01,CPI,2.3195274699624457,2.092290394862917,2.092290394862917
2019-12-01,NFP,127.0,208.0,95.0
2020-01-01,NFP,236.0,127.0,208.0
2020-01-01,CPI,2.599767976845202,2.3195274699624457,2.3195274699624457
2020-02-01,NFP,261.0,236.0,127.0
2020-02-01,CPI,2.3413166797595197,2.599767976845202,2.599767976845202
2020-03-01,NFP,-1397.0,261.0,236.0
2020-03-01,CPI,1.4940399642909163,2.3413166797595197,2.3413166797595197
2020-04-01,NFP,-20471.0,-1397.0,261.0
2020-04-01,CPI,0.3130472940411133,1.4940399642909163,1.4940399642909163
2020-05-01,NFP,2616.0,-20471.0,-1397.0
2020-05-01,CPI,0.1982013035848551,0.3130472940411133,0.3130472940411133
2020-06-01,NFP,4631.0,2616.0,-20471.0
2020-06-01,CPI,0.7166562831830481,0.1982013035848551,0.1982013035848551
2020-07-01,NFP,1584.0,4631.0,2616.0
2020-07-01,CPI,0.9968647625897997,0.7166562831830481,0.7166562831830481
2020-08-01,NFP,1564.0,1584.0,4631.0
2020-08-01,CPI,1.2810698495523853,0.9968647625897997,0.9968647625897997
2020-09-01,NFP,951.0,1564.0,1584.0
2020-09-01,CPI,1.3910228912373812,1.2810698495523853,1.2810698495523853
2020-10-01,NFP,691.0,951.0,1564.0
2020-10-01,CPI,1.2303863428671624,1.3910228912373812,1.3910228912373812
2020-11-01,CPI,1.1757452138405844,1.2303863428671624,1.2303863428671624
2020-11-01,NFP,270.0,691.0,951.0
2020-12-01,NFP,-183.0,270.0,691.0
2020-12-01,CPI,1.3204191315779434,1.1757452138405844,1.1757452138405844
2021-01-01,CPI,1.3553199782346148,1.3204191315779434,1.3204191315779434
2021-01-01,NFP,365.0,-183.0,270.0
2021-02-01,CPI,1.667502410800381,1.3553199782346148,1.3553199782346148
2021-02-01,NFP,509.0,365.0,-183.0
2021-03-01,CPI,2.623645747764214,1.667502410800381,1.667502410800381
2021-03-01,NFP,824.0,509.0,365.0
2021-04-01,CPI,4.137373453318349,2.623645747764214,2.623645747764214
2021-04-01,NFP,365.0,824.0,509.0
2021-05-01,NFP,421.0,365.0,824.0
2021-05-01,CPI,4.9264665639830785,4.137373453318349,4.137373453318349
2021-06-01,CPI,5.317418943207719,4.9264665639830785,4.9264665639830785
2021-06-01,NFP,796.0,421.0,365.0
2021-07-01,NFP,931.0,796.0,421.0
2021-07-01,CPI,5.269167647240969,5.317418943207719,5.317418943207719
